Date,Price,Open,High,Low,Vol.,Change %
2022-11-15,1778.25,1771.88,1786.68,1766.56,,0.36%
2022-11-14,1771.80,1771.42,1775.36,1752.90,,0.06%
2022-11-11,1770.69,1754.92,1773.17,1746.85,,0.90%
2022-11-10,1754.86,1706.42,1757.52,1703.32,,2.84%
2022-11-09,1706.32,1712.60,1722.94,1701.79,,-0.36%
2022-11-08,1712.52,1674.75,1717.31,1664.32,,2.26%
2022-11-07,1674.68,1681.30,1682.08,1666.44,,-0.33%
2022-11-04,1680.27,1629.40,1682.17,1628.23,,3.14%
2022-11-03,1629.15,1635.80,1641.32,1616.18,,-0.35%
2022-11-02,1634.89,1647.77,1669.60,1634.40,,-0.77%
2022-11-01,1647.50,1633.40,1657.13,1630.93,,0.88%
2022-10-31,1633.12,1643.69,1645.80,1631.77,,-0.53%
2022-10-28,1641.76,1663.30,1667.44,1637.39,,-1.27%
2022-10-27,1662.94,1664.50,1671.09,1654.81,,-0.09%
2022-10-26,1664.49,1653.21,1675.12,1649.15,,0.72%
2022-10-25,1652.52,1649.70,1662.89,1637.82,,0.24%
2022-10-24,1648.60,1658.19,1670.55,1643.64,,-0.49%
2022-10-21,1656.66,1628.10,1659.08,1617.21,,1.78%
2022-10-20,1627.66,1629.93,1645.83,1621.93,,-0.05%
2022-10-19,1628.49,1651.99,1654.90,1627.25,,-1.41%
2022-10-18,1651.83,1650.49,1661.27,1645.61,,0.11%
2022-10-17,1649.94,1644.09,1668.69,1643.69,,0.50%
2022-10-14,1641.76,1665.90,1672.02,1639.90,,-1.44%
2022-10-13,1665.80,1673.30,1682.84,1642.25,,-0.40%
2022-10-12,1672.51,1666.49,1678.90,1660.95,,0.43%
2022-10-11,1665.31,1668.40,1684.44,1660.45,,-0.16%
2022-10-10,1667.96,1696.80,1700.33,1665.30,,-1.57%
2022-10-07,1694.52,1711.10,1715.40,1690.35,,-0.95%
2022-10-06,1710.85,1716.06,1726.09,1706.53,,-0.29%
2022-10-05,1715.81,1726.42,1728.10,1700.15,,-0.60%
2022-10-04,1726.24,1699.40,1729.73,1694.73,,1.59%
2022-10-03,1699.22,1661.30,1701.80,1659.10,,2.38%
2022-09-30,1659.67,1661.13,1675.57,1658.93,,-0.04%
2022-09-29,1660.29,1659.88,1665.12,1641.05,,0.05%
2022-09-28,1659.44,1629.26,1663.17,1614.35,,1.88%
2022-09-27,1628.80,1621.99,1642.94,1621.77,,0.45%
2022-09-26,1621.57,1645.40,1650.02,1620.80,,-1.31%
2022-09-23,1643.09,1671.55,1676.59,1639.59,,-1.64%
2022-09-22,1670.53,1675.06,1685.49,1655.53,,-0.19%
2022-09-21,1673.74,1663.67,1688.15,1654.15,,0.64%
2022-09-20,1663.11,1675.47,1679.34,1659.60,,-0.76%
2022-09-19,1675.78,1675.44,1680.16,1659.67,,0.05%
2022-09-16,1674.94,1664.27,1680.69,1653.85,,0.67%
2022-09-15,1663.74,1696.06,1698.62,1660.04,,-1.89%
2022-09-14,1695.80,1701.86,1707.49,1693.26,,-0.34%
2022-09-13,1701.55,1724.75,1732.34,1696.70,,-1.31%
2022-09-12,1724.07,1717.05,1735.37,1711.97,,0.47%
2022-09-09,1716.05,1708.84,1729.94,1708.22,,0.51%
2022-09-08,1707.28,1718.40,1728.80,1703.50,,-0.61%
2022-09-07,1717.69,1701.61,1719.82,1690.90,,0.97%
2022-09-06,1701.15,1710.56,1727.24,1699.30,,-0.53%
2022-09-05,1710.21,1712.99,1716.34,1707.47,,-0.07%
2022-09-02,1711.44,1696.35,1718.31,1694.64,,0.91%
2022-09-01,1696.09,1711.09,1711.81,1688.35,,-0.85%
2022-08-31,1710.70,1723.83,1726.86,1709.10,,-0.75%
2022-08-30,1723.55,1738.36,1740.93,1720.85,,-0.82%
2022-08-29,1737.82,1736.19,1745.63,1720.08,,0.06%
