Date,Price,Open,High,Low,Vol.,Change %
2022-11-15,21.54,21.99,22.29,21.38,,-1.95%
2022-11-14,21.97,21.70,22.12,21.29,,1.31%
2022-11-11,21.68,21.68,22.08,21.27,,0.10%
2022-11-10,21.66,21.04,21.85,20.95,,3.11%
2022-11-09,21.01,21.37,21.63,20.99,,-1.56%
2022-11-08,21.34,20.81,21.67,20.49,,2.72%
2022-11-07,20.78,20.49,21.03,20.38,,-0.29%
2022-11-04,20.84,19.47,20.94,19.41,,7.07%
2022-11-03,19.46,19.23,19.58,18.82,,0.93%
2022-11-02,19.28,19.63,20.12,19.20,,-1.88%
2022-11-01,19.65,19.17,20.04,19.12,,2.66%
2022-10-31,19.14,19.24,19.27,18.90,,-0.45%
2022-10-28,19.23,19.61,19.69,19.00,,-1.82%
2022-10-27,19.58,19.59,19.71,19.28,,-0.19%
2022-10-26,19.62,19.35,19.83,19.21,,1.45%
2022-10-25,19.34,19.24,19.48,18.78,,0.42%
2022-10-24,19.26,19.43,19.68,19.01,,-0.72%
2022-10-21,19.40,18.74,19.43,18.28,,3.97%
2022-10-20,18.66,18.52,19.05,18.22,,1.19%
2022-10-19,18.44,18.75,18.83,18.36,,-1.71%
2022-10-18,18.76,18.70,18.99,18.54,,0.43%
2022-10-17,18.68,18.23,18.97,18.23,,2.32%
2022-10-14,18.26,18.88,19.09,18.08,,-3.24%
2022-10-13,18.87,19.05,19.35,18.46,,-1.01%
2022-10-12,19.06,19.18,19.32,18.86,,-0.68%
2022-10-11,19.19,19.62,19.74,19.06,,-2.34%
2022-10-10,19.65,20.18,20.19,19.50,,-2.29%
2022-10-07,20.11,20.67,20.84,19.99,,-2.62%
2022-10-06,20.65,20.69,20.88,20.36,,-0.24%
2022-10-05,20.70,21.06,21.08,19.94,,-1.94%
2022-10-04,21.11,20.69,21.26,20.60,,1.71%
2022-10-03,20.76,19.02,20.78,19.00,,9.24%
2022-09-30,19.00,18.82,19.31,18.77,,0.98%
2022-09-29,18.82,18.91,18.92,18.48,,-0.40%
2022-09-28,18.89,18.40,18.99,17.96,,2.50%
2022-09-27,18.43,18.33,18.80,18.32,,0.52%
2022-09-26,18.34,18.89,19.04,18.32,,-2.67%
2022-09-23,18.84,19.64,19.72,18.77,,-4.13%
2022-09-22,19.65,19.59,19.88,19.24,,0.31%
2022-09-21,19.59,19.28,19.93,19.24,,1.45%
2022-09-20,19.31,19.57,19.62,19.05,,-1.53%
2022-09-19,19.61,19.55,19.66,19.22,,0.26%
2022-09-16,19.56,19.17,19.67,18.78,,2.09%
2022-09-15,19.16,19.62,19.67,19.11,,-2.69%
2022-09-14,19.69,19.34,19.72,19.23,,1.92%
2022-09-13,19.32,19.82,19.98,19.32,,-2.33%
2022-09-12,19.78,18.86,20.03,18.84,,5.33%
2022-09-09,18.78,18.64,18.98,18.52,,1.12%
2022-09-08,18.57,18.46,18.76,18.31,,0.32%
2022-09-07,18.51,18.02,18.54,17.84,,2.53%
2022-09-06,18.05,18.15,18.60,17.94,,-0.60%
2022-09-05,18.16,18.06,18.28,17.94,,0.77%
2022-09-02,18.02,17.81,18.31,17.78,,0.96%
2022-09-01,17.85,17.98,18.01,17.56,,-0.67%
